<1,LPAREN><2,RPAREN><3,MULT><4,PLUS><5,MINUS><6,DIV><7,CONSTANT><8,SEMI><9,ASSIGN><10,ID><12,ID><13,ID><14,ID><15,ID><16,ID><17,ID><18,ID><19,LBRACE><20,RBRACE><21,INC><23,CONSTANT><25,DEC><26,COMMENT><27,ID><28,ID><29,ID><30,ID><31,IF><32,ID><33,ID><34,ID><35,ID><36,CONSTANT><37,ID><38,ID><39,ID><40,ID><41,INT><42,ID><43,ID><44,ID><45,ID><46,CHAR><47,ID><48,ID><49,ID><50,VOID><51,ID><52,BREAK><53,ID><54,FLOAT><55,ID><56,WHILE><57,ID><58,RET><59,ID><60,CONT>
#0:
(,1
),2
*,3
+,4
-,5
.,0
/,6
0,7
1,7
2,7
3,7
4,7
5,7
6,7
7,7
8,7
9,7
;,8
=,9
A,10
B,10
C,10
D,10
E,10
F,10
G,10
H,10
I,10
J,10
K,10
L,10
M,10
N,10
O,10
P,10
Q,10
R,10
S,10
T,10
U,10
V,10
W,10
X,10
Y,10
Z,10
^,11
a,10
b,12
c,13
d,10
e,10
f,14
g,10
h,10
i,15
j,10
k,10
l,10
m,10
n,10
o,10
p,10
q,10
r,16
s,10
t,10
u,10
v,17
w,18
x,10
y,10
z,10
{,19
},20
#1:
(,0
),0
*,0
+,0
-,0
.,0
/,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
;,0
=,0
A,0
B,0
C,0
D,0
E,0
F,0
G,0
H,0
I,0
J,0
K,0
L,0
M,0
N,0
O,0
P,0
Q,0
R,0
S,0
T,0
U,0
V,0
W,0
X,0
Y,0
Z,0
^,0
a,0
b,0
c,0
d,0
e,0
f,0
g,0
h,0
i,0
j,0
k,0
l,0
m,0
n,0
o,0
p,0
q,0
r,0
s,0
t,0
u,0
v,0
w,0
x,0
y,0
z,0
{,0
},0
#2:
(,0
),0
*,0
+,0
-,0
.,0
/,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
;,0
=,0
A,0
B,0
C,0
D,0
E,0
F,0
G,0
H,0
I,0
J,0
K,0
L,0
M,0
N,0
O,0
P,0
Q,0
R,0
S,0
T,0
U,0
V,0
W,0
X,0
Y,0
Z,0
^,0
a,0
b,0
c,0
d,0
e,0
f,0
g,0
h,0
i,0
j,0
k,0
l,0
m,0
n,0
o,0
p,0
q,0
r,0
s,0
t,0
u,0
v,0
w,0
x,0
y,0
z,0
{,0
},0
#3:
(,0
),0
*,0
+,0
-,0
.,0
/,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
;,0
=,0
A,0
B,0
C,0
D,0
E,0
F,0
G,0
H,0
I,0
J,0
K,0
L,0
M,0
N,0
O,0
P,0
Q,0
R,0
S,0
T,0
U,0
V,0
W,0
X,0
Y,0
Z,0
^,0
a,0
b,0
c,0
d,0
e,0
f,0
g,0
h,0
i,0
j,0
k,0
l,0
m,0
n,0
o,0
p,0
q,0
r,0
s,0
t,0
u,0
v,0
w,0
x,0
y,0
z,0
{,0
},0
#4:
(,0
),0
*,0
+,21
-,0
.,22
/,0
0,23
1,23
2,23
3,23
4,23
5,23
6,23
7,23
8,23
9,23
;,0
=,0
A,0
B,0
C,0
D,0
E,24
F,0
G,0
H,0
I,0
J,0
K,0
L,0
M,0
N,0
O,0
P,0
Q,0
R,0
S,0
T,0
U,0
V,0
W,0
X,0
Y,0
Z,0
^,0
a,0
b,0
c,0
d,0
e,0
f,0
g,0
h,0
i,0
j,0
k,0
l,0
m,0
n,0
o,0
p,0
q,0
r,0
